Race,Gender,Education,Education-Mother,Education-Father,Self-Subjective,2010SOC,2018SOC,2019ONetSOC,Self-Objective,familarity
5,2,8,6,5,7,27-1020,27-1021,27-1021.00,3.941176470588236,4
5,1,10,6,1,3,47-4090,47-4091,47-4091.00,3.833333333333333,2
6,1,9,6,8,6,31-9091,31-9091,31-9091.00,4.75,2
5,2,8,4,4,7,35-2010,35-2011,35-2011.00,5.315789473684211,2
5,2,11,11,11,2,25-2020,25-2021,25-2021.00,3.078947368421053,2
5,1,7,10,1,1,49-9071,49-9071,49-9071.00,4.233333333333333,2
5,2,6,8,4,5,39-9099,39-9099,39-9099.00,3.2355725677830947,2
3,1,11,11,11,7,15-1134,15-1254,15-1254.00,5.275862068965517,5
3,2,6,6,6,5,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,1,9,9,9,1,35-3041,35-3041,35-3041.00,5.571428571428571,2
3,1,10,1,1,2,53-6051,53-6051,53-6051.00,5.428571428571429,2
5,2,11,6,4,6,15-1142,15-1244,15-1244.00,5.2,5
6,1,6,11,12,2,47-2181,47-2181,47-2181.00,3.25,2
5,1,12,11,11,6,15-1132,15-1252,15-1252.00,4.631578947368421,6
5,1,8,8,11,3,17-2061,17-2061,17-2061.00,4.555555555555555,5
6,2,12,11,,7,29-1141,29-1141,29-1141.00,3.740740740740741,2
5,2,11,6,14,1,31-9093,31-9093,31-9093.00,4.8125,2
5,1,9,,,2,47-4090,47-4091,47-4091.00,3.833333333333333,2
5,2,9,6,6,3,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,1,12,11,12,3,31-9092,31-9092,31-9092.00,4.95,2
5,2,5,6,5,7,35-3031,35-3031,35-3031.00,5,2
6,2,12,6,4,1,29-1171,29-1171,29-1171.00,4.111111111111111,3
3,2,10,5,13,7,11-1021,11-1021,11-1021.00,4.764705882352941,4
6,1,6,6,5,5,41-4010,41-4011,41-4011.00,4.944444444444445,4
5,2,8,8,6,4,39-9021,31-1122,31-1122.00,3.909090909090909,2
5,2,7,6,6,7,37-2012,37-2012,37-2012.00,4.84,2
6,1,5,9,4,1,17-2021,17-2021,17-2021.00,3.357142857142857,3
5,2,8,9,6,2,13-2099,13-2099,13-2099.00,5.02605274,3.375
5,2,11,6,6,3,43-6010,43-6011,43-6011.00,5.272727272727272,3
6,2,9,7,4,4,31-1010,31-1121,31-1121.00,3.8,2
5,2,6,6,6,1,43-9061,43-9061,43-9061.00,5.571428571428571,2
5,1,11,11,11,6,13-1199,13-1199,13-1199.00,4.4929914585401685,3.727272727272727
5,1,11,6,6,2,43-4051,43-4051,43-4051.00,5.066666666666666,2
6,2,6,6,6,5,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
3,1,6,5,,3,11-3071,11-3071,11-3071.00,4.633333333333334,2
5,1,9,11,12,1,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
5,2,11,11,11,6,47-1011,47-1011,47-1011.00,4.133333333333334,2
5,1,6,6,6,2,51-2011,51-2011,51-2011.00,4.6,2
5,2,9,6,6,7,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,2,8,4,5,2,53-1031,53-1043,53-1043.00,4.727272727272728,2
5,2,10,9,10,5,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,2,4,5,,1,39-9021,31-1122,31-1122.00,3.909090909090909,2
5,2,10,6,6,6,41-1011,41-1011,41-1011.00,4.571428571428571,2
5,2,11,,,4,47-1011,47-1011,47-1011.00,4.133333333333334,2
6,1,6,6,9,4,15-1142,15-1244,15-1244.00,5.2,5
6,1,9,6,6,7,15-1132,15-1252,15-1252.00,4.631578947368421,6
5,2,9,5,5,1,35-3041,35-3041,35-3041.00,5.571428571428571,2
5,1,7,6,10,2,35-1012,35-1012,35-1012.00,4.615384615384615,2
6,1,12,12,12,6,11-1011,11-1011,11-1011.03,3.611111111111111,4
5,2,8,9,11,7,35-1011,35-1011,35-1011.00,4.380952380952381,2
6,2,8,5,6,3,35-2021,35-2021,35-2021.00,5.322580645,2
5,2,9,6,6,5,31-1010,31-1121,31-1121.00,3.8,2
5,1,10,12,12,1,49-9098,49-9098,49-9098.00,4.5,2
5,2,10,10,7,1,43-9021,43-9021,43-9021.00,5.888888888888889,2
5,2,9,7,,7,11-9199,11-9199,11-9199.00,3.945066586818505,2.823529411764706
5,2,8,5,7,1,25-9041,25-9042,25-9042.00,3.9,2
5,2,8,6,4,3,39-9011,39-9011,39-9011.00,3.16,2
5,1,10,6,6,3,11-2020,11-2021,11-2021.00,4.25,5
3,2,10,10,5,5,29-1141,29-1141,29-1141.00,3.740740740740741,2
5,2,11,11,9,2,21-1093,21-1093,21-1093.00,4.05,2
2,1,6,10,7,1,45-1011,45-1011,45-1011.00,4.566666666666666,2
6,2,11,7,6,5,39-5090,39-5091,39-5091.00,3.571428571428572,2
5,1,6,6,6,1,39-2021,39-2021,39-2021.00,4.090909090909091,2
3,2,10,10,,1,41-1011,41-1011,41-1011.00,4.571428571428571,2
5,2,4,4,4,5,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,2,11,12,12,3,35-3031,35-3031,35-3031.00,5,2
6,1,4,6,6,5,25-3099,25-3099,25-3099.00,3.5046558704453448,2.25
5,2,12,10,10,4,11-9030,11-9031,11-9031.00,3.705882352941177,2
5,2,12,12,11,1,19-4090,19-4042,19-4042.00,4.923076923076923,3
6,2,6,6,6,3,29-1031,29-1031,29-1031.00,3.571428571428572,3
5,1,12,11,12,1,11-3011,11-3012,11-3012.00,4.222222222222222,3
5,2,11,6,10,2,39-9030,39-9031,39-9031.00,3.409090909090909,2
3,1,13,10,6,5,13-1199,13-1199,13-1199.00,4.4929914585401685,3.727272727272727
5,2,14,9,9,2,29-1123,29-1123,29-1123.00,3.166666666666667,2
5,2,10,6,7,6,51-4199,51-4199,51-4199.00,5.094727263142216,2.142857142857143
5,1,6,6,4,1,47-2031,47-2031,47-2031.00,4,2
5,1,11,10,8,5,11-1011,11-1011,11-1011.03,3.611111111111111,4
5,2,9,8,8,1,31-9093,31-9093,31-9093.00,4.8125,2
5,1,11,11,11,7,11-1011,11-1011,11-1011.03,3.611111111111111,4
5,1,10,12,5,3,43-1011,43-1011,43-1011.00,4.241379310344827,3
5,1,7,5,5,5,39-5012,39-5012,39-5012.00,3.565217391304348,2
6,1,11,11,11,3,15-1132,15-1252,15-1252.00,4.631578947368421,6
6,1,11,10,11,3,11-2011,11-2011,11-2011.00,4.233333333333333,4
6,2,7,7,6,6,15-1131,15-1251,15-1251.00,5,6
5,2,6,6,12,2,47-2141,47-2141,47-2141.00,3.789473684210526,2
5,1,9,6,6,2,41-3099,41-3091,41-3091.00,5.2,3
5,2,6,4,6,7,27-3043,27-3043,27-3043.00,4.35,3
3,1,11,12,12,1,15-1150,15-1232,15-1232.00,4.5625,5
3,2,6,6,9,6,19-1099,19-1099,19-1099.00,4.046198759029641,3.375
5,1,12,6,10,1,25-2030,25-2031,25-2031.00,3.0625,3
5,1,12,11,11,5,13-2051,13-2051,13-2051.00,4.846153846153846,5
5,1,12,11,11,3,15-1111,15-1221,15-1221.00,3.866666666666667,7
6,2,11,6,6,6,43-4051,43-4051,43-4051.00,5.066666666666666,2
5,1,11,6,6,5,15-1150,15-1232,15-1232.00,4.5625,5
3,1,11,5,6,7,13-1081,13-1081,13-1081.00,4.363636363636363,4
5,1,8,9,8,4,11-3131,11-3131,11-3131.00,3.916666666666667,5
5,2,8,10,5,4,53-7041,53-7041,53-7041.00,4.692307692307693,2
3,2,6,6,8,3,47-2141,47-2141,47-2141.00,3.789473684210526,2
5,1,9,12,10,1,35-2010,35-2011,35-2011.00,5.315789473684211,2
3,1,10,6,1,5,43-4021,43-4021,43-4021.00,5.7,2
5,1,12,11,12,4,11-3121,11-3121,11-3121.00,4.230769230769231,3
5,1,12,12,14,1,17-2061,17-2061,17-2061.00,4.555555555555555,5
5,1,7,5,6,2,47-2061,47-2061,47-2061.00,4.125,2
5,2,6,6,6,2,11-3121,11-3121,11-3121.00,4.230769230769231,3
6,2,9,6,6,6,29-2099,29-2099,29-2099.00,4.5006314924531985,2.392857142857143
5,2,10,6,6,3,41-1011,41-1011,41-1011.00,4.571428571428571,2
5,2,11,6,8,2,41-3099,41-3091,41-3091.00,5.2,3
3,2,6,10,6,5,41-3021,41-3021,41-3021.00,4.473684210526316,2
5,2,11,,,4,43-6010,43-6011,43-6011.00,5.272727272727272,3
3,2,8,8,4,2,25-9041,25-9042,25-9042.00,3.9,2
5,1,6,6,10,1,37-3010,37-3011,37-3011.00,4,2
2,2,6,4,6,3,43-9021,43-9021,43-9021.00,5.888888888888889,2
5,2,11,11,11,6,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,2,11,12,12,4,29-1141,29-1141,29-1141.00,3.740740740740741,2
5,1,9,13,,4,49-2011,49-2011,49-2011.00,5.12,3
3,1,11,11,11,4,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,2,11,9,6,5,25-3099,25-3099,25-3099.00,3.5046558704453448,2.25
5,2,12,6,6,2,35-3021,35-3023,35-3023.00,5.464285714285714,2
5,2,9,6,,2,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,1,13,9,6,4,15-1199,15-1299,15-1299.00,4.7565844967921045,5.444444444444445
5,2,11,8,11,3,25-2010,25-2011,25-2011.00,2.823529411764706,2
5,1,11,6,12,5,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,2,12,10,12,6,41-1011,41-1011,41-1011.00,4.571428571428571,2
5,1,11,6,11,5,41-2031,41-2031,41-2031.00,5.583333333333333,2
3,1,6,4,4,4,29-1199,29-1299,29-1299.00,3.7570639784478796,2.88
5,1,13,11,11,1,23-1011,23-1011,23-1011.00,3.818181818181818,3
5,2,10,6,,1,25-9011,25-4022,25-4022.00,4.366666666666666,3
5,2,6,9,4,1,11-9199,11-9199,11-9199.00,3.945066586818505,2.823529411764706
5,1,11,2,12,7,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,1,1,1,1,4,11-9199,11-9199,11-9199.00,3.945066586818505,2.823529411764706
5,1,11,11,12,6,47-4090,47-4091,47-4091.00,3.833333333333333,2
5,2,9,6,6,1,25-2010,25-2011,25-2011.00,2.823529411764706,2
5,1,8,7,6,6,51-1011,51-1011,51-1011.00,4.7,3
5,1,9,10,6,4,11-1021,11-1021,11-1021.00,4.764705882352941,4
3,2,11,6,6,3,29-1141,29-1141,29-1141.00,3.740740740740741,2
6,2,9,5,5,7,29-2050,29-2051,29-2051.00,4.153846153846154,2
5,2,9,12,12,5,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,1,11,10,11,5,13-1070,13-1071,13-1071.00,4.730769230769231,3
3,2,11,10,6,4,25-2020,25-2021,25-2021.00,3.078947368421053,2
3,1,10,6,,2,31-9091,31-9091,31-9091.00,4.75,2
5,1,11,6,6,2,21-1020,21-1021,21-1021.00,2.956521739130435,2
5,2,6,6,6,1,33-9030,33-9031,33-9031.00,5.125,2
5,1,6,9,6,6,35-3022,35-3023,35-3023.00,5.464285714285714,2
3,1,12,7,7,5,11-9051,11-9051,11-9051.00,4.785714285714286,2
5,2,7,4,6,4,41-4010,41-4011,41-4011.00,4.944444444444445,4
3,2,7,6,11,3,41-3099,41-3091,41-3091.00,5.2,3
5,2,11,10,10,1,21-1020,21-1021,21-1021.00,2.956521739130435,2
5,2,9,6,6,7,41-3099,41-3091,41-3091.00,5.2,3
5,1,6,6,6,1,41-9041,41-9041,41-9041.00,5.916666666666667,2
5,2,7,7,7,4,17-2141,17-2141,17-2141.00,4.428571428571429,4
5,1,10,6,6,5,11-3121,11-3121,11-3121.00,4.230769230769231,3
5,1,12,11,12,5,13-1070,13-1071,13-1071.00,4.730769230769231,3
5,1,9,13,11,1,33-9030,33-9031,33-9031.00,5.125,2
6,1,5,5,5,5,41-3099,41-3091,41-3091.00,5.2,3
5,2,6,6,6,1,31-9093,31-9093,31-9093.00,4.8125,2
5,1,10,6,10,1,47-1011,47-1011,47-1011.00,4.133333333333334,2
5,2,6,6,6,1,51-4199,51-4199,51-4199.00,5.094727263142216,2.142857142857143
6,2,14,9,4,7,25-2050,25-2051,25-2051.00,2.944444444444445,2
5,2,6,6,6,1,35-9021,35-9021,35-9021.00,5.461538461538462,2
5,2,6,6,6,4,43-4171,43-4171,43-4171.00,5.684210526315789,2
3,1,11,10,6,3,13-1199,13-1199,13-1199.00,4.4929914585401685,3.727272727272727
5,2,11,11,11,3,41-4010,41-4011,41-4011.00,4.944444444444445,4
5,2,8,8,7,2,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,2,11,6,8,6,11-3031,11-3031,11-3031.00,4.952380952380953,5
5,2,10,6,6,7,39-1021,39-1014,39-1014.00,3.789473684210526,2
5,2,6,5,6,5,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,1,11,11,11,5,35-9099,35-9099,35-9099.00,5.239704739704739,2
3,2,11,10,6,4,43-9061,43-9061,43-9061.00,5.571428571428571,2
5,2,12,10,11,5,25-2030,25-2031,25-2031.00,3.0625,3
3,2,9,10,10,7,51-9198,51-9198,51-9198.00,5.617647058823529,2
5,2,9,6,8,1,39-9030,39-9031,39-9031.00,3.409090909090909,2
6,1,11,13,9,6,13-2052,13-2052,13-2052.00,4.666666666666667,3
3,1,4,5,7,3,41-9010,41-9011,41-9011.00,4.75,2
5,2,11,9,13,1,13-2099,13-2099,13-2099.00,5.02605274,3.375
5,1,11,10,11,1,37-1012,37-1012,37-1012.00,4.357142857142857,2
6,2,5,,,2,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,1,12,11,11,6,15-1132,15-1252,15-1252.00,4.631578947368421,6
5,2,9,8,6,4,29-2050,29-2051,29-2051.00,4.153846153846154,2
5,2,7,9,4,3,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,1,12,13,12,6,17-2061,17-2061,17-2061.00,4.555555555555555,5
5,2,6,6,,7,53-7062,53-7062,53-7062.00,5.190476190476191,2
5,2,11,9,11,2,43-9022,43-9022,43-9022.00,6.1,2
5,1,10,10,9,4,43-4161,43-4161,43-4161.00,5.631578947368421,2
3,1,9,12,5,5,53-3030,53-3031,53-3031.00,5.5,2
5,2,10,10,11,1,39-5012,39-5012,39-5012.00,3.565217391304348,2
5,1,9,6,6,4,51-1011,51-1011,51-1011.00,4.7,3
3,2,6,7,,4,21-1091,21-1091,21-1091.00,3.625,3
5,2,12,6,6,1,29-1141,29-1141,29-1141.00,3.740740740740741,2
6,2,8,9,6,1,47-3010,47-3011,47-3011.00,4.266666666666667,2
3,2,8,,,4,39-2011,39-2011,39-2011.00,2.789473684210526,2
5,2,10,,,5,41-3099,41-3091,41-3091.00,5.2,3
5,2,6,5,,3,35-2021,35-2021,35-2021.00,5.322580645,2
3,2,6,1,,5,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,2,6,6,6,2,43-9199,43-9199,43-9199.00,5.642857142857143,5
5,2,6,6,6,2,53-6031,53-6031,53-6031.00,5.733333333333333,2
5,1,12,5,11,7,11-1011,11-1011,11-1011.03,3.611111111111111,4
5,2,9,6,9,1,11-9199,11-9199,11-9199.00,3.945066586818505,2.823529411764706
5,1,11,6,6,2,29-1141,29-1141,29-1141.00,3.740740740740741,2
5,2,6,6,6,3,29-2099,29-2099,29-2099.00,4.5006314924531985,2.392857142857143
5,1,14,14,14,5,47-4090,47-4091,47-4091.00,3.833333333333333,2
5,1,11,6,6,1,11-3011,11-3012,11-3012.00,4.222222222222222,3
3,2,7,8,6,7,35-2021,35-2021,35-2021.00,5.322580645,2
5,1,6,6,6,1,47-2073,47-2073,47-2073.00,4.892857142857143,2
5,2,6,6,6,4,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,1,8,8,8,6,39-1021,39-1014,39-1014.00,3.789473684210526,2
3,1,11,11,12,4,15-1141,15-1242,15-1242.00,5.166666666666667,5
5,1,9,6,6,1,51-4081,51-4081,51-4081.00,5.190476190476191,2
3,1,11,6,4,5,11-3031,11-3031,11-3031.00,4.952380952380953,5
5,1,11,11,11,6,11-3131,11-3131,11-3131.00,3.916666666666667,5
5,2,12,,,4,11-3121,11-3121,11-3121.00,4.230769230769231,3
6,1,10,11,11,1,11-3121,11-3121,11-3121.00,4.230769230769231,3
5,2,12,11,11,1,25-9041,25-9042,25-9042.00,3.9,2
5,2,11,10,8,2,25-9011,25-4022,25-4022.00,4.366666666666666,3
5,2,8,9,11,4,11-9141,11-9141,11-9141.00,3.814814814814815,2
3,1,5,5,5,4,37-1012,37-1012,37-1012.00,4.357142857142857,2
5,2,12,,6,1,39-9021,31-1122,31-1122.00,3.909090909090909,2
5,1,11,10,11,3,17-2121,17-2121,17-2121.00,4.333333333333333,3
5,2,11,6,11,4,31-9092,31-9092,31-9092.00,4.95,2
5,2,10,7,6,5,41-3099,41-3091,41-3091.00,5.2,3
5,2,10,10,6,1,29-1141,29-1141,29-1141.00,3.740740740740741,2
5,2,8,6,8,5,31-9092,31-9092,31-9092.00,4.95,2
5,1,11,11,13,2,41-9041,41-9041,41-9041.00,5.916666666666667,2
5,2,11,6,10,4,11-9199,11-9199,11-9199.00,3.945066586818505,2.823529411764706
5,1,14,14,14,6,11-9021,11-9021,11-9021.00,3.96,2
5,2,10,10,10,4,11-3011,11-3012,11-3012.00,4.222222222222222,3
5,2,7,6,11,3,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,2,8,10,9,5,35-9031,35-9031,35-9031.00,4.590909090909091,2
5,1,12,10,11,5,13-1199,13-1199,13-1199.00,4.4929914585401685,3.727272727272727
5,1,10,9,6,2,29-2061,29-2061,29-2061.00,4.217391304347826,2
3,1,10,9,9,1,51-2020,51-2021,51-2021.00,5.090909090909091,2
5,2,11,8,7,4,35-9099,35-9099,35-9099.00,5.239704739704739,2
6,2,8,5,5,7,35-1011,35-1011,35-1011.00,4.380952380952381,2
5,2,9,4,4,6,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,1,11,6,6,2,41-4010,41-4011,41-4011.00,4.944444444444445,4
5,1,8,1,5,4,49-9071,49-9071,49-9071.00,4.233333333333333,2
5,2,10,,11,4,13-1030,13-1031,13-1031.00,4.689655172413793,3
5,2,12,13,13,2,25-1199,25-1199,25-1199.00,3.6187894472677082,3
5,2,12,12,12,6,47-1011,47-1011,47-1011.00,4.133333333333334,2
6,1,8,10,,6,11-1021,11-1021,11-1021.00,4.764705882352941,4
3,1,10,11,11,5,11-3021,11-3021,11-3021.00,4.058823529411764,6
5,2,9,9,9,7,53-6099,53-6099,53-6099.00,5.192724867724867,2.111111111111111
5,2,11,6,4,1,29-1141,29-1141,29-1141.00,3.740740740740741,2
5,1,5,6,7,1,47-2181,47-2181,47-2181.00,3.25,2
6,2,7,7,5,1,35-2021,35-2021,35-2021.00,5.322580645,2
3,2,8,12,,5,31-1010,31-1121,31-1121.00,3.8,2
5,2,6,6,6,1,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,2,14,6,6,1,21-1020,21-1021,21-1021.00,2.956521739130435,2
5,1,11,10,11,5,47-4011,47-4011,47-4011.00,4.631578947368421,2
5,2,8,2,6,6,31-9093,31-9093,31-9093.00,4.8125,2
5,2,5,9,6,7,13-2070,13-2071,13-2071.00,4.652173913043478,3
5,2,6,6,6,2,35-9031,35-9031,35-9031.00,4.590909090909091,2
5,1,11,10,12,5,15-1121,15-1211,15-1211.00,4.681818181818182,6
5,2,8,,,2,53-7199,53-7199,53-7199.00,5.315789473684211,2
6,2,6,3,5,6,19-4090,19-4042,19-4042.00,4.923076923076923,3
3,1,6,7,,4,45-4011,45-4011,45-4011.00,4.157894736842105,2
5,2,12,12,12,2,25-2030,25-2031,25-2031.00,3.0625,3
3,1,8,6,4,7,47-2031,47-2031,47-2031.00,4,2
5,2,5,7,8,6,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,2,11,11,11,1,29-2010,29-2011,29-2011.00,5.125,3
5,2,6,6,6,2,43-1011,43-1011,43-1011.00,4.241379310344827,3
5,2,12,6,4,1,25-9011,25-4022,25-4022.00,4.366666666666666,3
5,2,11,1,6,1,29-1171,29-1171,29-1171.00,4.111111111111111,3
5,2,6,4,4,6,35-3021,35-3023,35-3023.00,5.464285714285714,2
5,2,8,6,10,3,41-3099,41-3091,41-3091.00,5.2,3
3,1,6,6,6,5,53-7199,53-7199,53-7199.00,5.315789473684211,2
5,1,11,12,14,6,25-3099,25-3099,25-3099.00,3.5046558704453448,2.25
5,2,11,10,14,2,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,2,9,9,6,2,35-3021,35-3023,35-3023.00,5.464285714285714,2
5,2,10,5,5,3,51-9198,51-9198,51-9198.00,5.617647058823529,2
5,2,9,6,6,2,43-6010,43-6011,43-6011.00,5.272727272727272,3
3,2,9,10,10,1,11-9051,11-9051,11-9051.00,4.785714285714286,2
5,2,10,6,9,1,43-9061,43-9061,43-9061.00,5.571428571428571,2
5,2,10,7,5,3,47-2031,47-2031,47-2031.00,4,2
3,2,10,10,6,3,39-5012,39-5012,39-5012.00,3.565217391304348,2
5,2,11,11,11,5,51-9198,51-9198,51-9198.00,5.617647058823529,2
6,2,11,12,13,3,27-2012,27-2012,27-2012.00,3.666666666666667,4
5,2,9,10,6,4,39-9021,31-1122,31-1122.00,3.909090909090909,2
3,1,10,9,11,6,25-2020,25-2021,25-2021.00,3.078947368421053,2
5,1,13,6,6,5,15-1150,15-1232,15-1232.00,4.5625,5
3,2,9,6,,6,43-3061,43-3061,43-3061.00,5.631578947368421,2
5,2,12,11,14,2,15-1132,15-1252,15-1252.00,4.631578947368421,6
3,1,7,7,,7,45-3021,45-3031,45-3031.00,4.133333333333334,2
5,2,11,10,9,3,43-6010,43-6011,43-6011.00,5.272727272727272,3
5,2,11,4,4,4,39-5012,39-5012,39-5012.00,3.565217391304348,2
3,1,11,8,6,1,11-1021,11-1021,11-1021.00,4.764705882352941,4
6,2,11,6,6,4,41-1011,41-1011,41-1011.00,4.571428571428571,2
5,1,11,11,11,1,11-3031,11-3031,11-3031.00,4.952380952380953,5
5,2,12,11,12,7,15-1132,15-1252,15-1252.00,4.631578947368421,6
5,1,7,6,6,3,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,2,11,12,12,2,21-1020,21-1021,21-1021.00,2.956521739130435,2
5,2,6,6,4,4,51-8090,51-8091,51-8091.00,5.157894736842105,2
6,2,9,4,6,2,29-1141,29-1141,29-1141.00,3.740740740740741,2
5,2,8,6,6,4,43-6010,43-6011,43-6011.00,5.272727272727272,3
6,1,6,6,9,7,47-2031,47-2031,47-2031.00,4,2
5,2,12,12,12,7,13-1011,13-1011,13-1011.00,4.571428571428571,3
3,2,12,8,6,3,25-2020,25-2021,25-2021.00,3.078947368421053,2
5,2,11,8,12,5,41-4010,41-4011,41-4011.00,4.944444444444445,4
5,2,9,6,13,4,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,1,11,10,6,5,13-2099,13-2099,13-2099.00,5.02605274,3.375
5,1,12,11,10,5,25-2050,25-2051,25-2051.00,2.944444444444445,2
5,2,8,7,9,3,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,1,6,,,7,47-2061,47-2061,47-2061.00,4.125,2
5,2,9,5,6,1,43-3099,43-3099,43-3099.00,5.804638601852224,2
3,2,8,10,,7,39-5012,39-5012,39-5012.00,3.565217391304348,2
5,1,11,8,9,3,11-3071,11-3071,11-3071.00,4.633333333333334,2
5,2,12,8,12,2,17-1010,17-1011,17-1011.00,4.166666666666667,3
5,1,11,10,6,4,15-1132,15-1252,15-1252.00,4.631578947368421,6
5,1,11,12,14,6,11-2020,11-2021,11-2021.00,4.25,5
6,1,9,11,6,1,13-2052,13-2052,13-2052.00,4.666666666666667,3
5,2,6,4,4,5,41-4010,41-4011,41-4011.00,4.944444444444445,4
5,1,6,6,5,1,11-1011,11-1011,11-1011.03,3.611111111111111,4
6,1,11,6,6,4,37-1011,37-1011,37-1011.00,4.769230769230769,2
5,2,8,9,11,6,35-2021,35-2021,35-2021.00,5.322580645,2
3,1,10,10,10,7,47-2061,47-2061,47-2061.00,4.125,2
6,1,12,11,,1,39-9030,39-9031,39-9031.00,3.409090909090909,2
3,1,6,9,,3,37-3010,37-3011,37-3011.00,4,2
5,2,6,10,7,1,25-9011,25-4022,25-4022.00,4.366666666666666,3
6,2,11,9,9,6,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,1,14,12,14,7,49-9052,49-9052,49-9052.00,3.95,2
6,1,8,8,10,4,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,2,9,6,4,1,37-3019,37-3019,37-3019.00,4.264102564102564,2
5,1,10,5,5,3,17-3020,17-3021,17-3021.00,4.25,5
3,1,11,12,11,5,25-2020,25-2021,25-2021.00,3.078947368421053,2
5,1,12,12,14,7,31-1010,31-1121,31-1121.00,3.8,2
5,2,14,6,6,2,19-1099,19-1099,19-1099.00,4.046198759029641,3.375
5,2,10,6,12,2,29-1141,29-1141,29-1141.00,3.740740740740741,2
5,2,9,10,13,1,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,1,11,7,11,2,41-4010,41-4011,41-4011.00,4.944444444444445,4
5,2,8,4,4,4,41-3099,41-3091,41-3091.00,5.2,3
5,2,9,10,6,5,51-2020,51-2021,51-2021.00,5.090909090909091,2
5,2,6,1,1,4,19-4090,19-4042,19-4042.00,4.923076923076923,3
6,2,12,7,5,5,43-4071,43-4071,43-4071.00,6,2
5,2,10,,,4,53-7064,53-7064,53-7064.00,5.75,2
5,1,11,11,11,5,11-9021,11-9021,11-9021.00,3.96,2
6,2,9,4,5,3,13-2099,13-2099,13-2099.00,5.02605274,3.375
5,1,11,8,10,5,15-1111,15-1221,15-1221.00,3.866666666666667,7
5,2,9,8,9,2,31-9093,31-9093,31-9093.00,4.8125,2
5,1,12,11,14,7,53-7041,53-7041,53-7041.00,4.692307692307693,2
5,1,11,12,14,2,15-1132,15-1252,15-1252.00,4.631578947368421,6
5,2,9,12,4,2,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,1,14,11,12,1,47-1011,47-1011,47-1011.00,4.133333333333334,2
3,2,11,14,6,5,23-2090,27-3092,27-3092.00,5.642857142857143,2
5,2,11,9,6,4,27-3043,27-3043,27-3043.00,4.35,3
5,2,9,6,10,1,11-1021,11-1021,11-1021.00,4.764705882352941,4
6,1,11,5,12,4,15-1122,15-1212,15-1212.00,4.833333333333333,5
5,1,11,6,6,3,25-2020,25-2021,25-2021.00,3.078947368421053,2
5,2,12,12,12,7,11-1011,11-1011,11-1011.03,3.611111111111111,4
5,2,11,11,13,2,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
5,1,10,12,10,6,11-9030,11-9031,11-9031.00,3.705882352941177,2
5,2,8,4,9,7,35-2010,35-2011,35-2011.00,5.315789473684211,2
5,2,5,5,5,2,45-2041,45-2041,45-2041.00,5.166666666666667,2
5,2,12,9,11,2,21-1020,21-1021,21-1021.00,2.956521739130435,2
5,2,6,4,6,2,43-3031,43-3031,43-3031.00,6.066666666666666,2
5,2,11,11,11,2,15-1131,15-1251,15-1251.00,5,6
5,2,10,6,1,7,41-2010,41-2011,41-2011.00,5.758620689655173,2
6,2,12,11,14,5,13-2099,13-2099,13-2099.00,5.02605274,3.375
5,2,8,6,10,1,39-9021,31-1122,31-1122.00,3.909090909090909,2
5,1,6,6,,3,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,2,10,6,9,7,43-1011,43-1011,43-1011.00,4.241379310344827,3
5,2,11,6,6,2,25-2050,25-2051,25-2051.00,2.944444444444445,2
5,2,9,6,6,1,23-2011,23-2011,23-2011.00,4.25,3
5,1,9,6,7,1,47-2031,47-2031,47-2031.00,4,2
6,1,8,11,11,2,51-9197,51-9197,51-9197.00,5.347826086956522,2
