Race,Gender,Education,Education-Mother,Education-Father,Self-Subjective,2010SOC,2018SOC,2019ONetSOC,Self-Objective,familarity
5,2,9,12,,7,45-4011,45-4011,45-4011.00,4.157894736842105,2
5,2,6,11,11,3,39-5012,39-5012,39-5012.00,3.565217391304348,2
5,1,11,10,11,4,11-1011,11-1011,11-1011.03,3.611111111111111,4
6,2,10,8,11,5,41-3099,41-3091,41-3091.00,5.2,3
5,2,12,11,12,7,11-3021,11-3021,11-3021.00,4.058823529411764,6
3,2,6,6,6,6,11-9013,11-9013,11-9013.00,4.566666666666666,2
5,1,13,11,13,5,11-1011,11-1011,11-1011.03,3.611111111111111,4
5,2,11,11,10,2,47-1011,47-1011,47-1011.00,4.133333333333334,2
5,1,14,2,6,6,47-2061,47-2061,47-2061.00,4.125,2
5,1,11,11,11,7,39-1021,39-1014,39-1014.00,3.789473684210526,2
2,2,9,6,,4,35-2010,35-2011,35-2011.00,5.315789473684211,2
5,2,8,8,5,3,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,2,8,5,1,6,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,2,6,6,7,7,11-9081,11-9081,11-9081.00,4.583333333333333,2
5,2,9,11,6,1,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
5,2,10,11,12,1,29-2030,29-2031,29-2031.00,4.64,3
5,2,4,1,11,7,41-2031,41-2031,41-2031.00,5.583333333333333,2
6,1,8,8,9,6,49-9051,49-9051,49-9051.00,3.913043478,2
5,1,6,6,6,6,41-3099,41-3091,41-3091.00,5.2,3
5,2,6,6,6,1,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,2,9,6,6,1,13-2011,13-2011,13-2011.00,5.233333333333333,3
5,2,11,12,12,1,43-1011,43-1011,43-1011.00,4.241379310344827,3
5,1,8,5,5,6,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,1,12,12,14,5,11-3021,11-3021,11-3021.00,4.058823529411764,6
5,2,6,6,6,4,41-3099,41-3091,41-3091.00,5.2,3
5,1,11,11,12,1,13-2051,13-2051,13-2051.00,4.846153846153846,5
5,1,11,6,6,3,15-1132,15-1252,15-1252.00,4.631578947368421,6
6,2,6,6,7,2,13-2011,13-2011,13-2011.00,5.233333333333333,3
5,2,9,6,6,5,43-4161,43-4161,43-4161.00,5.631578947368421,2
5,2,11,10,11,4,29-1060,29-1211,29-1211.00,3.666666666666667,3
6,1,7,2,2,6,11-1031,11-1031,11-1031.00,2.866666666666667,3
5,2,11,6,9,1,25-2020,25-2021,25-2021.00,3.078947368421053,2
3,1,6,6,6,3,31-2020,31-2021,31-2021.00,3.523809523809524,2
5,1,7,6,7,5,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,2,10,6,6,4,29-1141,29-1141,29-1141.00,3.740740740740741,2
5,1,8,,,5,25-3099,25-3099,25-3099.00,3.5046558704453448,2.25
5,1,6,6,6,4,15-1111,15-1221,15-1221.00,3.866666666666667,7
5,2,8,7,12,1,53-6099,53-6099,53-6099.00,5.192724867724867,2.111111111111111
5,1,11,11,10,5,43-5061,43-5061,43-5061.00,5.470588235294118,3
6,2,10,6,6,5,43-3021,43-3021,43-3021.00,6,2
5,2,11,6,9,4,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,2,13,6,6,4,23-1020,23-1021,23-1021.00,4.285714285714286,2
5,1,11,6,6,5,41-1011,41-1011,41-1011.00,4.571428571428571,2
2,1,11,6,11,1,17-2070,17-2071,17-2071.00,4.391304347826087,5
5,2,11,11,14,1,43-6010,43-6011,43-6011.00,5.272727272727272,3
3,3,7,6,5,6,15-1132,15-1252,15-1252.00,4.631578947368421,6
6,1,12,12,12,6,13-1022,13-1022,13-1022.00,4.9,3
5,1,11,6,10,5,41-9020,41-9021,41-9021.00,4.684210526315789,2
5,2,8,10,10,5,41-3099,41-3091,41-3091.00,5.2,3
5,1,12,10,9,5,11-9199,11-9199,11-9199.00,3.945066586818505,2.823529411764706
5,2,8,10,6,4,13-2099,13-2099,13-2099.00,5.02605274,3.375
5,1,6,6,6,5,51-2090,51-2051,51-2051.00,4.8125,2
5,1,7,,,2,41-1011,41-1011,41-1011.00,4.571428571428571,2
3,1,8,9,5,3,49-9052,49-9052,49-9052.00,3.95,2
5,2,9,10,10,4,27-1010,27-1011,27-1011.00,3.625,3
5,2,6,6,6,5,13-2099,13-2099,13-2099.00,5.02605274,3.375
5,2,10,1,1,1,11-3121,11-3121,11-3121.00,4.230769230769231,3
5,1,6,6,5,1,29-2099,29-2099,29-2099.00,4.5006314924531985,2.392857142857143
5,2,11,4,4,5,25-2030,25-2031,25-2031.00,3.0625,3
5,2,7,7,8,4,41-1011,41-1011,41-1011.00,4.571428571428571,2
5,2,10,5,6,1,43-4051,43-4051,43-4051.00,5.066666666666666,2
3,2,6,6,10,3,35-2010,35-2011,35-2011.00,5.315789473684211,2
5,2,9,8,6,7,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,2,12,10,7,7,25-9011,25-4022,25-4022.00,4.366666666666666,3
5,1,10,6,6,1,49-9071,49-9071,49-9071.00,4.233333333333333,2
2,1,9,6,6,7,47-4011,47-4011,47-4011.00,4.631578947368421,2
5,1,12,11,11,7,25-4031,25-4031,25-4031.00,5.171428571428572,3
6,1,12,11,12,6,13-1199,13-1199,13-1199.00,4.4929914585401685,3.727272727272727
5,1,11,7,7,1,25-2020,25-2021,25-2021.00,3.078947368421053,2
6,2,5,5,,7,35-2010,35-2011,35-2011.00,5.315789473684211,2
5,2,10,6,6,1,53-3020,53-3052,53-3052.00,5.333333333333333,2
5,2,9,6,6,6,43-6010,43-6011,43-6011.00,5.272727272727272,3
5,3,13,8,12,6,25-9041,25-9042,25-9042.00,3.9,2
5,2,12,6,4,2,21-1020,21-1021,21-1021.00,2.956521739130435,2
5,2,11,11,11,5,13-2099,13-2099,13-2099.00,5.02605274,3.375
3,2,6,7,6,3,33-9091,33-9091,33-9091.00,4.583333333333333,2
5,1,11,,6,4,41-2010,41-2011,41-2011.00,5.758620689655173,2
3,1,9,7,1,4,21-1091,21-1091,21-1091.00,3.625,3
5,2,8,7,5,4,41-2010,41-2011,41-2011.00,5.758620689655173,2
5,1,12,12,13,6,37-1012,37-1012,37-1012.00,4.357142857142857,2
5,2,11,14,12,4,13-1199,13-1199,13-1199.00,4.4929914585401685,3.727272727272727
3,1,11,11,11,5,13-2011,13-2011,13-2011.00,5.233333333333333,3
5,2,8,4,6,2,25-2050,25-2051,25-2051.00,2.944444444444445,2
5,2,12,8,13,3,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,2,9,13,13,2,23-2011,23-2011,23-2011.00,4.25,3
5,2,12,5,,1,25-4021,25-4022,25-4022.00,4.366666666666666,3
2,2,11,,,6,15-1121,15-1211,15-1211.00,4.681818181818182,6
5,1,11,6,10,4,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,1,11,9,13,4,13-2099,13-2099,13-2099.00,5.02605274,3.375
5,1,6,6,6,1,51-9061,51-9061,51-9061.00,5.59375,2
5,2,12,12,12,7,11-9021,11-9021,11-9021.00,3.96,2
5,2,11,5,10,1,13-2011,13-2011,13-2011.00,5.233333333333333,3
5,1,6,6,6,1,47-2061,47-2061,47-2061.00,4.125,2
5,1,11,6,6,3,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,1,11,,,4,49-9098,49-9098,49-9098.00,4.5,2
5,1,11,10,12,4,11-3121,11-3121,11-3121.00,4.230769230769231,3
5,2,12,12,9,4,13-1070,13-1071,13-1071.00,4.730769230769231,3
5,2,9,10,11,7,23-2011,23-2011,23-2011.00,4.25,3
6,2,8,6,,1,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,1,11,6,4,1,47-2141,47-2141,47-2141.00,3.789473684210526,2
5,2,12,12,13,1,27-2040,27-2041,27-2041.00,4.1,2
5,1,12,12,12,7,47-2141,47-2141,47-2141.00,3.789473684210526,2
5,2,8,7,4,1,11-9051,11-9051,11-9051.00,4.785714285714286,2
5,1,12,11,12,3,29-1071,29-1071,29-1071.00,4.333333333333333,3
5,2,6,9,5,7,35-2021,35-2021,35-2021.00,5.322580645,2
5,1,9,11,14,1,47-2080,47-2081,47-2081.00,3.615384615384615,2
3,1,9,9,6,5,41-3099,41-3091,41-3091.00,5.2,3
5,1,11,10,10,4,51-9199,51-9199,51-9199.00,5.279794546297018,2.2777777777777777
5,2,12,6,6,1,13-2011,13-2011,13-2011.00,5.233333333333333,3
5,2,11,9,6,5,13-2099,13-2099,13-2099.00,5.02605274,3.375
5,2,6,6,6,3,13-2099,13-2099,13-2099.00,5.02605274,3.375
5,1,11,,10,2,15-1131,15-1251,15-1251.00,5,6
6,2,11,6,7,5,35-9099,35-9099,35-9099.00,5.239704739704739,2
3,2,10,6,6,2,25-2010,25-2011,25-2011.00,2.823529411764706,2
5,2,9,6,,7,41-2022,41-2022,41-2022.00,5.421052631578948,2
5,1,6,6,6,1,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,1,6,11,11,4,47-2061,47-2061,47-2061.00,4.125,2
5,1,10,6,9,3,53-6061,53-6061,53-6061.00,5.357142857142857,2
5,1,12,11,13,7,13-2051,13-2051,13-2051.00,4.846153846153846,5
5,1,6,6,4,1,47-2121,47-2121,47-2121.00,4.111111111111111,2
3,2,11,10,10,4,43-6010,43-6011,43-6011.00,5.272727272727272,3
5,1,10,8,11,2,33-9030,33-9031,33-9031.00,5.125,2
6,1,11,11,11,6,47-2061,47-2061,47-2061.00,4.125,2
3,2,11,11,13,7,25-2020,25-2021,25-2021.00,3.078947368421053,2
5,2,6,6,6,5,35-2021,35-2021,35-2021.00,5.322580645,2
5,1,11,11,11,1,17-2110,17-2111,17-2111.00,3.888888888888889,3
5,1,8,6,11,6,53-7062,53-7062,53-7062.00,5.190476190476191,2
5,2,9,12,11,7,11-1021,11-1021,11-1021.00,4.764705882352941,4
3,2,11,11,6,5,41-3099,41-3091,41-3091.00,5.2,3
5,1,11,6,10,1,17-2051,17-2051,17-2051.00,4.411764705882353,3
5,2,11,6,10,5,13-1041,13-1041,13-1041.00,5.3125,3
5,2,6,6,7,4,51-5111,51-5111,51-5111.00,5.88,3
5,1,8,8,11,2,41-9010,41-9011,41-9011.00,4.75,2
5,2,8,6,6,4,53-7062,53-7062,53-7062.00,5.190476190476191,2
5,2,9,5,6,3,53-3030,53-3031,53-3031.00,5.5,2
5,1,6,6,6,6,53-3030,53-3031,53-3031.00,5.5,2
5,1,10,6,6,1,29-1122,29-1122,29-1122.00,3.529411764705882,2
2,2,11,5,10,3,43-1011,43-1011,43-1011.00,4.241379310344827,3
5,2,6,6,6,5,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,1,11,11,11,7,29-2071,29-2072,29-2072.00,5.882352941176471,3
5,2,10,9,9,1,43-3031,43-3031,43-3031.00,6.066666666666666,2
2,2,12,11,11,5,13-1199,13-1199,13-1199.00,4.4929914585401685,3.727272727272727
5,2,10,6,4,4,11-3011,11-3012,11-3012.00,4.222222222222222,3
5,2,9,7,7,5,43-9061,43-9061,43-9061.00,5.571428571428571,2
6,2,10,10,10,7,27-4010,27-4011,27-4011.00,5.068965517241379,3
3,2,8,9,6,1,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,1,11,11,11,5,13-2031,13-2031,13-2031.00,4.923076923076923,2
5,2,11,11,13,4,29-1141,29-1141,29-1141.00,3.740740740740741,2
5,2,6,6,6,7,13-2051,13-2051,13-2051.00,4.846153846153846,5
5,2,10,6,6,3,11-9199,11-9199,11-9199.00,3.945066586818505,2.823529411764706
5,2,11,11,11,3,15-1131,15-1251,15-1251.00,5,6
5,1,12,12,12,6,39-6010,39-6011,39-6011.00,5.117647058823529,2
2,1,11,11,12,5,15-1199,15-1299,15-1299.00,4.7565844967921045,5.444444444444445
5,2,8,4,4,3,31-9092,31-9092,31-9092.00,4.95,2
5,2,11,6,6,3,25-2050,25-2051,25-2051.00,2.944444444444445,2
5,1,12,7,8,3,51-2020,51-2021,51-2021.00,5.090909090909091,2
5,2,10,10,6,1,39-2021,39-2021,39-2021.00,4.090909090909091,2
5,1,6,6,6,7,53-6031,53-6031,53-6031.00,5.733333333333333,2
5,1,12,11,11,4,31-9094,31-9094,31-9094.00,5.733333333333333,3
5,1,10,8,8,1,47-1011,47-1011,47-1011.00,4.133333333333334,2
5,2,10,6,4,2,13-1070,13-1071,13-1071.00,4.730769230769231,3
5,2,8,7,6,3,41-2010,41-2011,41-2011.00,5.758620689655173,2
3,1,11,6,6,1,11-1021,11-1021,11-1021.00,4.764705882352941,4
5,2,10,6,8,1,29-2061,29-2061,29-2061.00,4.217391304347826,2
5,2,12,6,7,3,11-9199,11-9199,11-9199.00,3.945066586818505,2.823529411764706
5,1,11,11,11,3,11-1011,11-1011,11-1011.03,3.611111111111111,4
5,2,8,6,6,5,35-2021,35-2021,35-2021.00,5.322580645,2
5,1,12,6,13,6,25-2020,25-2021,25-2021.00,3.078947368421053,2
5,1,12,11,11,6,15-1132,15-1252,15-1252.00,4.631578947368421,6
5,2,9,11,10,4,27-4021,27-4021,27-4021.00,4.586206896551724,3
3,2,10,10,11,4,31-9093,31-9093,31-9093.00,4.8125,2
5,1,12,12,12,5,15-1142,15-1244,15-1244.00,5.2,5
3,1,6,6,9,6,39-5011,39-5011,39-5011.00,4.05,2
3,1,7,6,6,3,35-2010,35-2011,35-2011.00,5.315789473684211,2
5,1,12,12,12,2,11-3071,11-3071,11-3071.00,4.633333333333334,2
5,1,12,12,12,5,25-1199,25-1199,25-1199.00,3.6187894472677082,3
5,2,11,6,,7,13-2052,13-2052,13-2052.00,4.666666666666667,3
6,1,8,11,7,4,19-4090,19-4042,19-4042.00,4.923076923076923,3
3,2,6,5,,5,17-2141,17-2141,17-2141.00,4.428571428571429,4
5,1,11,6,6,1,13-2011,13-2011,13-2011.00,5.233333333333333,3
6,1,6,1,1,4,51-1011,51-1011,51-1011.00,4.7,3
5,1,12,11,11,2,15-1142,15-1244,15-1244.00,5.2,5
5,1,9,6,6,1,11-1011,11-1011,11-1011.03,3.611111111111111,4
5,2,10,6,6,6,31-1010,31-1121,31-1121.00,3.8,2
5,2,10,6,11,4,29-2061,29-2061,29-2061.00,4.217391304347826,2
5,1,12,8,11,6,13-2011,13-2011,13-2011.00,5.233333333333333,3
5,1,9,6,10,4,53-7064,53-7064,53-7064.00,5.75,2
5,2,11,9,6,5,43-9061,43-9061,43-9061.00,5.571428571428571,2
5,1,12,11,11,6,11-1011,11-1011,11-1011.03,3.611111111111111,4
5,2,11,12,6,1,25-2050,25-2051,25-2051.00,2.944444444444445,2
5,2,9,4,4,1,39-9021,31-1122,31-1122.00,3.909090909090909,2
5,1,11,4,6,2,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,2,11,11,6,1,11-1011,11-1011,11-1011.03,3.611111111111111,4
5,2,8,10,6,1,35-9021,35-9021,35-9021.00,5.461538461538462,2
5,2,12,11,14,5,29-2099,29-2099,29-2099.00,4.5006314924531985,2.392857142857143
5,2,11,11,10,4,13-2011,13-2011,13-2011.00,5.233333333333333,3
3,2,11,9,9,4,25-2010,25-2011,25-2011.00,2.823529411764706,2
5,1,11,6,9,4,41-3021,41-3021,41-3021.00,4.473684210526316,2
3,1,11,10,12,6,17-2131,17-2131,17-2131.00,4.333333333333333,4
5,2,8,6,5,1,27-2099,27-2099,27-2099.00,3.492280205809955,2.4615384615384617
5,1,6,10,12,2,47-1011,47-1011,47-1011.00,4.133333333333334,2
5,2,12,7,8,1,25-2010,25-2011,25-2011.00,2.823529411764706,2
5,2,12,12,12,2,29-1141,29-1141,29-1141.00,3.740740740740741,2
5,1,14,12,8,1,41-2031,41-2031,41-2031.00,5.583333333333333,2
5,2,6,4,4,2,29-1171,29-1171,29-1171.00,4.111111111111111,3
5,1,12,5,8,7,11-9199,11-9199,11-9199.00,3.945066586818505,2.823529411764706
5,2,11,10,6,4,43-5030,43-5031,43-5031.00,5.444444444444445,3
5,1,11,6,11,5,13-2099,13-2099,13-2099.00,5.02605274,3.375
3,1,12,10,8,3,17-1010,17-1011,17-1011.00,4.166666666666667,3
5,1,12,11,12,1,25-9041,25-9042,25-9042.00,3.9,2
3,2,6,4,4,7,41-9099,41-9099,41-9099.00,4.680279920580673,2.4285714285714284
5,2,12,14,11,5,43-3051,43-3051,43-3051.00,5.863636363636363,2
6,1,6,4,4,7,51-9111,51-9111,51-9111.00,5.75,2
3,2,4,6,6,4,17-2131,17-2131,17-2131.00,4.333333333333333,4
5,2,12,9,9,2,29-1129,29-1129,29-1129.00,3.529793774044987,2.3
3,2,11,11,11,7,35-3022,35-3023,35-3023.00,5.464285714285714,2
5,1,13,5,9,1,23-1011,23-1011,23-1011.00,3.818181818181818,3
5,1,11,4,4,5,11-3011,11-3012,11-3012.00,4.222222222222222,3
3,2,10,6,6,4,11-9199,11-9199,11-9199.00,3.945066586818505,2.823529411764706
6,1,14,11,12,5,29-1123,29-1123,29-1123.00,3.166666666666667,2
5,2,9,8,6,1,39-5090,39-5091,39-5091.00,3.571428571428572,2
2,2,10,6,6,2,25-3099,25-3099,25-3099.00,3.5046558704453448,2.25
5,2,6,8,8,1,41-3099,41-3091,41-3091.00,5.2,3
3,2,13,10,12,7,39-7010,39-7011,39-7011.00,4.789473684210527,2
5,2,6,6,6,4,35-3041,35-3041,35-3041.00,5.571428571428571,2
6,2,8,6,8,7,13-2041,13-2041,13-2041.00,5.818181818181818,5
5,2,11,6,11,6,13-1199,13-1199,13-1199.00,4.4929914585401685,3.727272727272727
5,2,7,,,5,25-9011,25-4022,25-4022.00,4.366666666666666,3
5,2,12,6,13,5,25-1199,25-1199,25-1199.00,3.6187894472677082,3
5,1,8,6,,2,41-9020,41-9021,41-9021.00,4.684210526315789,2
5,1,12,12,12,4,47-4011,47-4011,47-4011.00,4.631578947368421,2
6,1,10,12,11,6,11-3051,11-3051,11-3051.00,4.666666666666667,4
3,2,10,6,7,1,29-2099,29-2099,29-2099.00,4.5006314924531985,2.392857142857143
5,1,8,6,6,2,53-3099,53-3099,53-3099.00,5.092984821945922,2
2,2,8,6,6,7,35-1012,35-1012,35-1012.00,4.615384615384615,2
3,2,10,5,6,6,29-2041,29-2042,29-2042.00,3.583333333333333,2
5,1,10,9,9,3,15-1150,15-1232,15-1232.00,4.5625,5
5,1,9,6,11,1,11-3051,11-3051,11-3051.00,4.666666666666667,4
6,2,11,4,6,3,39-9099,39-9099,39-9099.00,3.2355725677830947,2
5,2,9,10,9,4,21-1093,21-1093,21-1093.00,4.05,2
5,2,6,11,,1,35-3041,35-3041,35-3041.00,5.571428571428571,2
